countryname,countrycode,gdppercapitapppconstant2005inter,co2percaptons,gdp_dollars
Afghanistan,AFG,,,
Albania,ALB,5.211804,1.170981,5211.804
Algeria,DZA,5.8440231,5.98866,5844.023
American Samoa,ASM,,,
Andorra,ADO,,,
Angola,AGO,3.1823467,0.5046268,3182.347
Antigua and Barbuda,ATG,14.195593,5.051057,14195.59
Argentina,ARG,10.002686,3.691779,10002.69
Armenia,ARM,3.6429522,1.204107,3642.952
Aruba,ABW,,21.756,
Australia,AUS,33.614812,16.21561,33614.81
Austria,AUT,33.632455,8.536559,33632.46
Azerbaijan,AZE,3.6621367,3.772629,3662.137
"Bahamas, The",BHS,,6.28599,
Bahrain,BHR,31.668008,23.84422,31668.01
Bangladesh,BGD,1.0265542,0.2466768,1026.554
Barbados,BRB,,4.356802,
Belarus,BLR,7.765218,6.598976,7765.218
Belgium,BEL,31.53618,9.655993,31536.18
Belize,BLZ,7.3557138,2.799745,7355.714
Benin,BEN,1.2170009,0.2899544,1217.001
Bermuda,BMU,,8.677353,
Bhutan,BTN,3.4855703,0.664309,3485.57
Bolivia,BOL,3.6392784,0.7733368,3639.278
Bosnia and Herzegovina,BIH,5.6798521,3.990042,5679.852
Botswana,BWA,11.686347,2.367201,11686.35
Brazil,BRA,8.3470476,1.798513,8347.048
Brunei Darussalam,BRN,47.851191,24.06962,47851.19
Bulgaria,BGR,8.7334112,5.464607,8733.411
Burkina Faso,BFA,1.021845,0.081086,1021.845
Burundi,BDI,0.32878623,0.0290492,328.7862
Cambodia,KHM,1.2908664,0.0389787,1290.866
Cameroon,CMR,1.9960312,0.2202921,1996.031
Canada,CAN,34.317386,19.97033,34317.39
Cape Verde,CPV,2.3058479,0.5548083,2305.848
Cayman Islands,CYM,,7.07625,
Central African Republic,CAF,0.65055744,0.0612969,650.5574
Chad,TCD,1.4094431,0.0126951,1409.443
Channel Islands,CHI,,,
Chile,CHL,11.70907,3.867731,11709.07
China,CHN,3.7270369,3.861944,3727.037
Colombia,COL,5.6820422,1.209144,5682.042
Comoros,COM,1.1045875,0.1495245,1104.588
"Congo, Dem. Rep.",ZAR,0.2592769,0.0369402,259.2769
"Congo, Rep.",COG,3.08282,1.002524,3082.82
Costa Rica,CRI,8.3692409,1.504633,8369.241
Cote d'Ivoire,CIV,1.6217469,0.2822105,1621.747
Croatia,HRV,12.687159,5.284858,12687.16
Cuba,CUB,,2.293554,
Cyprus,CYP,24.17685,9.115414,24176.85
Czech Republic,CZE,19.09462,11.45167,19094.62
Denmark,DNK,32.73535,9.795712,32735.35
Djibouti,DJI,1.8243775,0.4634691,1824.377
Dominica,DMA,8.4578298,1.486295,8457.83
Dominican Republic,DOM,4.8449134,2.104393,4844.914
Ecuador,ECU,6.4259883,2.263754,6425.988
"Egypt, Arab Rep.",EGY,4.4598507,2.209574,4459.851
El Salvador,SLV,5.3499463,0.9369158,5349.946
Equatorial Guinea,GNQ,27.332964,11.46457,27332.96
Eritrea,ERI,0.71590629,0.1733257,715.9063
Estonia,EST,14.863471,14.0302,14863.47
Ethiopia,ETH,0.54107725,0.1089199,541.0773
Faeroe Islands,FRO,,13.65093,
Fiji,FJI,4.2789045,1.299812,4278.904
Finland,FIN,29.700355,12.57423,29700.36
France,FRA,30.251708,6.169061,30251.71
French Polynesia,PYF,,2.661144,
Gabon,GAB,13.63304,1.078595,13633.04
"Gambia, The",GMB,1.0570558,0.1819055,1057.056
Georgia,GEO,3.1807839,0.8652728,3180.784
Germany,DEU,30.153245,9.792534,30153.24
Ghana,GHA,1.1191412,0.3256641,1119.141
Greece,GRC,28.316569,8.733515,28316.57
